,日期,最高温度,最低温度,天气,风向,风力,aqi,aqiinfo,aqilevel,city
2018-02-20,2018-02-20,-9℃,-25℃,多云~晴,西风,4-5级,36,优,1,佳木斯
2018-02-21,2018-02-21,-7℃,-19℃,多云~小雪,西风,3-4级,39,优,1,佳木斯
2018-02-22,2018-02-22,-7℃,-20℃,小雪~多云,东南风,4-5级,80,良,2,佳木斯
2018-02-23,2018-02-23,-8℃,-25℃,多云~晴,西风,3-4级,72,良,2,佳木斯
2018-02-24,2018-02-24,-8℃,-26℃,晴,西北风,3-4级,68,良,2,佳木斯
2018-02-25,2018-02-25,-7℃,-27℃,晴,东风,3-4级,62,良,2,佳木斯
2018-02-26,2018-02-26,-7℃,-23℃,晴,东风,3-4级,84,良,2,佳木斯
2018-02-27,2018-02-27,-8℃,-25℃,晴~多云,西北风,3-4级,84,良,2,佳木斯
2018-02-28,2018-02-28,-7℃,-22℃,小雪~暴雪,东北风,4-5级,73,良,2,佳木斯
2018-02-09,2018-02-09,-10,-24,,,,,,,
2018-02-05,2018-02-05,,,,,,,,,
2018-02-01,2018-02-01,-12℃,-21℃,晴~多云,西南风,1-2级,83,良,2,双鸭山
2018-02-02,2018-02-02,-13℃,-21℃,阵雪~多云,西风,1-2级,122,轻度污染,3,双鸭山
2018-02-03,2018-02-03,-14℃,-23℃,多云~阵雪,西风,1-2级,141,轻度污染,3,双鸭山
2018-02-04,2018-02-04,-17℃,-21℃,多云~阵雪,北风,1-2级,78,良,2,双鸭山
2018-02-05,2018-02-05,-15℃,-22℃,多云~晴,北风,1-2级,39,优,1,双鸭山
2018-02-06,2018-02-06,-13℃,-22℃,晴,西南风,1-2级,48,优,1,双鸭山
2018-02-07,2018-02-07,-13℃,-21℃,晴,西北风,1-2级,58,良,2,双鸭山
2018-02-08,2018-02-08,-10℃,-18℃,晴,西南风,3-4级,61,良,2,双鸭山
2018-02-09,2018-02-09,-4℃,-16℃,多云~阵雪,西南风,3-4级,61,良,2,双鸭山
2018-02-10,2018-02-10,-8℃,-22℃,多云,西南风,3-4级,72,良,2,双鸭山
2018-02-11,2018-02-11,-15℃,-23℃,阵雪~多云,西风,3-4级,37,优,1,双鸭山
2018-02-12,2018-02-12,-16℃,-23℃,多云,西风,3-4级,36,优,1,双鸭山
2018-02-13,2018-02-13,-12℃,-19℃,多云,西风,3-4级,41,优,1,双鸭山
2018-02-14,2018-02-14,-8℃,-18℃,多云~晴,西风,3-4级,50,优,1,双鸭山
2018-02-15,2018-02-15,-6℃,-16℃,晴~阵雪,西风,3-4级,45,优,1,双鸭山
2018-02-16,2018-02-16,-7℃,-19℃,阵雪~多云,西风,1-2级,64,良,2,双鸭山
2018-02-17,2018-02-17,-11℃,-19℃,晴,西风,3-4级,30,优,1,双鸭山
2018-02-18,2018-02-18,-8℃,-17℃,晴,西风,3-4级,35,优,1,双鸭山
2018-02-19,2018-02-19,-8℃,-17℃,多云,西风,3-4级,45,优,1,双鸭山
2018-02-20,2018-02-20,-10℃,-18℃,多云~晴,西风,3-4级,34,优,1,双鸭山
2018-02-21,2018-02-21,-7℃,-16℃,多云~阵雪,西风,3-4级,34,优,1,双鸭山
2018-02-22,2018-02-22,-7℃,-17℃,阵雪~多云,西南风,1-2级,59,良,2,双鸭山
2018-02-23,2018-02-23,-8℃,-18℃,多云,西南风,3-4级,58,良,2,双鸭山
2018-02-24,2018-02-24,-9℃,-20℃,晴,西风,3-4级,64,良,2,双鸭山
2018-02-25,2018-02-25,-9℃,-19℃,晴,西风,1-2级,58,良,2,双鸭山
2018-02-26,2018-02-26,-8℃,-17℃,晴~多云,西风,1-2级,75,良,2,双鸭山
2018-02-27,2018-02-27,-8℃,-20℃,多云,西风,1-2级,69,良,2,双鸭山
2018-02-28,2018-02-28,-7℃,-15℃,小雪~大雪,东南风,3-4级,63,良,2,双鸭山
2018-02-09,2018-02-09,-10,-19,,,,,,,
2018-02-03,2018-02-03,,,,,,,,,
2018-02-01,2018-02-01,-11℃,-23℃,晴,西南风,1-2级,102,轻度污染,3,哈尔滨
2018-02-02,2018-02-02,-11℃,-25℃,多云,北风,3-4级,188,中度污染,4,哈尔滨
2018-02-03,2018-02-03,-12℃,-27℃,多云~晴,东北风,1-2级,184,中度污染,4,哈尔滨
2018-02-04,2018-02-04,-16℃,-30℃,晴,北风,3-4级,131,轻度污染,3,哈尔滨
2018-02-05,2018-02-05,-17℃,-28℃,晴,北风,1-2级,99,良,2,哈尔滨
2018-02-06,2018-02-06,-15℃,-27℃,多云~晴,西北风,1-2级,136,轻度污染,3,哈尔滨
2018-02-07,2018-02-07,-14℃,-25℃,晴,西南风,1-2级,153,中度污染,4,哈尔滨
2018-02-08,2018-02-08,-10℃,-19℃,晴~多云,西南风,3-4级,77,良,2,哈尔滨
2018-02-09,2018-02-09,-2℃,-23℃,晴~多云,西南风,3-4级,81,良,2,哈尔滨
2018-02-10,2018-02-10,-14℃,-26℃,阵雪~多云,西北风,3-4级,60,良,2,哈尔滨
2018-02-11,2018-02-11,-14℃,-25℃,阵雪~多云,西北风,3-4级,47,优,1,哈尔滨
2018-02-12,2018-02-12,-13℃,-23℃,多云,西风,1-2级,69,良,2,哈尔滨
2018-02-13,2018-02-13,-11℃,-22℃,多云,西风,1-2级,98,良,2,哈尔滨
2018-02-14,2018-02-14,-8℃,-22℃,多云~晴,西南风,3-4级,90,良,2,哈尔滨
2018-02-15,2018-02-15,-7℃,-17℃,晴~多云,西南风,1-2级,79,良,2,哈尔滨
2018-02-16,2018-02-16,-9℃,-22℃,阵雪~多云,西风,4-5级,88,良,2,哈尔滨
2018-02-17,2018-02-17,-10℃,-22℃,晴,西北风,4-5级,62,良,2,哈尔滨
2018-02-18,2018-02-18,-8℃,-20℃,晴,西风,1-2级,75,良,2,哈尔滨
2018-02-19,2018-02-19,-8℃,-19℃,多云,西北风,3-4级,58,良,2,哈尔滨
2018-02-20,2018-02-20,-7℃,-20℃,晴,西风,4-5级,62,良,2,哈尔滨
2018-02-21,2018-02-21,-5℃,-17℃,晴~多云,西风,3-4级,71,良,2,哈尔滨
2018-02-22,2018-02-22,-6℃,-19℃,多云,东风,1-2级,59,良,2,哈尔滨
2018-02-23,2018-02-23,-8℃,-21℃,多云,北风,3-4级,88,良,2,哈尔滨
2018-02-24,2018-02-24,-7℃,-20℃,多云,西南风,3-4级,84,良,2,哈尔滨
2018-02-25,2018-02-25,-6℃,-17℃,多云,南风,3-4级,72,良,2,哈尔滨
2018-02-26,2018-02-26,-5℃,-15℃,多云,东风,3-4级,63,良,2,哈尔滨
2018-02-27,2018-02-27,-5℃,-16℃,晴~多云,东北风,3-4级,54,良,2,哈尔滨
2018-02-28,2018-02-28,-4℃,-12℃,大雪,东南风,4-5级,69,良,2,哈尔滨
2018-02-09,2018-02-09,-9,-22,,,,,,,
2018-02-04,2018-02-04,,,,,,,,,
2018-02-01,2018-02-01,-12℃,-22℃,多云,西风,1-2级,99,良,2,七台河
2018-02-02,2018-02-02,-11℃,-21℃,阵雪~多云,西风,1-2级,93,良,2,七台河
2018-02-03,2018-02-03,-13℃,-23℃,多云,西风,1-2级,130,轻度污染,3,七台河
2018-02-04,2018-02-04,-16℃,-22℃,多云,西风,1-2级,135,轻度污染,3,七台河
2018-02-05,2018-02-05,-16℃,-23℃,多云,西风,3-4级,81,良,2,七台河
2018-02-06,2018-02-06,-14℃,-24℃,晴,西风,3-4级,54,良,2,七台河
2018-02-07,2018-02-07,-12℃,-23℃,晴,西风,3-4级,56,良,2,七台河
2018-02-08,2018-02-08,-9℃,-17℃,晴,西风,3-4级,66,良,2,七台河
2018-02-09,2018-02-09,-3℃,-15℃,多云~阵雪,西风,3-4级,88,良,2,七台河
2018-02-10,2018-02-10,-8℃,-20℃,阵雪~多云,西风,3-4级,85,良,2,七台河
2018-02-11,2018-02-11,-15℃,-23℃,阵雪~多云,西风,3-4级,52,良,2,七台河
2018-02-12,2018-02-12,-16℃,-23℃,阵雪~多云,西风,3-4级,41,优,1,七台河
2018-02-13,2018-02-13,-12℃,-20℃,多云,西风,3-4级,54,良,2,七台河
2018-02-14,2018-02-14,-9℃,-20℃,多云~晴,西风,3-4级,65,良,2,七台河
2018-02-15,2018-02-15,-7℃,-19℃,晴~多云,西风,3-4级,54,良,2,七台河
2018-02-16,2018-02-16,-9℃,-19℃,小雪~阵雪,西风,3-4级,138,轻度污染,3,七台河
2018-02-17,2018-02-17,-11℃,-19℃,多云,西风,3-4级,45,优,1,七台河
2018-02-18,2018-02-18,-8℃,-18℃,晴,西风,3-4级,52,良,2,七台河
2018-02-19,2018-02-19,-8℃,-18℃,多云,西风,3-4级,53,良,2,七台河
2018-02-20,2018-02-20,-10℃,-19℃,多云,西风,3-4级,60,良,2,七台河
2018-02-21,2018-02-21,-7℃,-15℃,多云~阵雪,西风,3-4级,47,优,1,七台河
2018-02-22,2018-02-22,-6℃,-18℃,多云,西风,3-4级,62,良,2,七台河
2018-02-23,2018-02-23,-8℃,-19℃,多云,西风,3-4级,58,良,2,七台河
2018-02-24,2018-02-24,-9℃,-20℃,多云,西风,3-4级,62,良,2,七台河
2018-02-25,2018-02-25,-8℃,-19℃,晴,西风,3-4级,52,良,2,七台河
2018-02-26,2018-02-26,-6℃,-17℃,晴~多云,西风,3-4级,70,良,2,七台河
2018-02-27,2018-02-27,-6℃,-18℃,多云,西风,1-2级,65,良,2,七台河
2018-02-28,2018-02-28,-4℃,-11℃,小雪~大雪,东南风,3-4级,84,良,2,七台河
2018-02-09,2018-02-09,-10,-19,,,,,,,
2018-02-06,2018-02-06,,,,,,,,,
2018-02-01,2018-02-01,-11℃,-20℃,晴~多云,西风,1-2级,93,良,2,鸡西
2018-02-02,2018-02-02,-10℃,-21℃,阵雪,西风,3-4级,158,中度污染,4,鸡西
2018-02-03,2018-02-03,-13℃,-23℃,多云,西北风,3-4级,123,轻度污染,3,鸡西
2018-02-04,2018-02-04,-14℃,-22℃,多云,西北风,3-4级,113,轻度污染,3,鸡西
2018-02-05,2018-02-05,-14℃,-23℃,多云,西北风,3-4级,50,优,1,鸡西
2018-02-06,2018-02-06,-14℃,-21℃,晴,西北风,3-4级,34,优,1,鸡西
2018-02-07,2018-02-07,-11℃,-21℃,晴,西风,3-4级,35,优,1,鸡西
2018-02-08,2018-02-08,-8℃,-17℃,晴,西风,3-4级,85,良,2,鸡西
2018-02-09,2018-02-09,-2℃,-14℃,晴~多云,西南风,3-4级,172,中度污染,4,鸡西
2018-02-10,2018-02-10,-9℃,-20℃,阵雪~多云,西风,3-4级,65,良,2,鸡西
2018-02-11,2018-02-11,-14℃,-22℃,阵雪~多云,西风,3-4级,40,优,1,鸡西
2018-02-12,2018-02-12,-15℃,-22℃,多云,西北风,3-4级,38,优,1,鸡西
2018-02-13,2018-02-13,-11℃,-20℃,多云,西北风,3-4级,46,优,1,鸡西
2018-02-14,2018-02-14,-10℃,-18℃,多云,西北风,3-4级,44,优,1,鸡西
2018-02-15,2018-02-15,-7℃,-15℃,晴~多云,西风,4-5级,42,优,1,鸡西
2018-02-16,2018-02-16,-5℃,-17℃,阵雪,西风,3-4级,196,中度污染,4,鸡西
2018-02-17,2018-02-17,-11℃,-19℃,多云,西风,3-4级,37,优,1,鸡西
2018-02-18,2018-02-18,-7℃,-17℃,晴,西风,3-4级,57,良,2,鸡西
2018-02-19,2018-02-19,-7℃,-17℃,多云,西风,3-4级,47,优,1,鸡西
2018-02-20,2018-02-20,-8℃,-17℃,多云,西风,3-4级,39,优,1,鸡西
2018-02-21,2018-02-21,-7℃,-15℃,多云~阵雪,西北风,3-4级,35,优,1,鸡西
2018-02-22,2018-02-22,-5℃,-16℃,多云,西风,3-4级,46,优,1,鸡西
2018-02-23,2018-02-23,-6℃,-16℃,多云,西北风,3-4级,52,良,2,鸡西
2018-02-24,2018-02-24,-7℃,-18℃,多云,西北风,3-4级,50,优,1,鸡西
2018-02-25,2018-02-25,-8℃,-17℃,晴,西北风,3-4级,65,良,2,鸡西
2018-02-26,2018-02-26,-6℃,-15℃,多云,西北风,3-4级,101,轻度污染,3,鸡西
2018-02-27,2018-02-27,-6℃,-18℃,晴~多云,西风,3-4级,92,良,2,鸡西
2018-02-28,2018-02-28,-4℃,-13℃,小雪~大雪,南风,4-5级,123,轻度污染,3,鸡西
2018-02-09,2018-02-09,-9,-18,,,,,,,
2018-02-03,2018-02-03,,,,,,,,,
2018-02-01,2018-02-01,-10℃,-22℃,多云,西风,3-4级,87,良,2,牡丹江
2018-02-02,2018-02-02,-9℃,-21℃,多云~小雪,西风,3-4级,111,轻度污染,3,牡丹江
2018-02-03,2018-02-03,-10℃,-23℃,多云,北风,3-4级,84,良,2,牡丹江
2018-02-04,2018-02-04,-13℃,-25℃,多云,西北风,3-4级,90,良,2,牡丹江
2018-02-05,2018-02-05,-14℃,-26℃,多云,西北风,3-4级,63,良,2,牡丹江
2018-02-06,2018-02-06,-13℃,-26℃,多云~晴,西风,3-4级,49,优,1,牡丹江
2018-02-07,2018-02-07,-11℃,-26℃,晴,西风,3-4级,56,良,2,牡丹江
2018-02-08,2018-02-08,-10℃,-20℃,晴,西南风,4-5级,83,良,2,牡丹江
2018-02-09,2018-02-09,0℃,-17℃,多云,西南风,5-6级,105,轻度污染,3,牡丹江
2018-02-10,2018-02-10,-8℃,-22℃,多云~晴,西风,4-5级,67,良,2,牡丹江
2018-02-11,2018-02-11,-13℃,-21℃,多云,西风,4-5级,45,优,1,牡丹江
2018-02-12,2018-02-12,-13℃,-21℃,多云~晴,西风,3-4级,39,优,1,牡丹江
2018-02-13,2018-02-13,-9℃,-23℃,多云~晴,西风,3-4级,54,良,2,牡丹江
2018-02-14,2018-02-14,-4℃,-21℃,多云,西风,3-4级,63,良,2,牡丹江
2018-02-15,2018-02-15,-5℃,-17℃,晴~多云,西风,3-4级,61,良,2,牡丹江
2018-02-16,2018-02-16,-5℃,-18℃,小雪~多云,西风,3-4级,109,轻度污染,3,牡丹江
2018-02-17,2018-02-17,-10℃,-22℃,多云,西北风,5-6级,37,优,1,牡丹江
2018-02-18,2018-02-18,-4℃,-20℃,晴,西北风,3-4级,46,优,1,牡丹江
2018-02-19,2018-02-19,-6℃,-19℃,晴~多云,西风,3-4级,51,良,2,牡丹江
2018-02-20,2018-02-20,-7℃,-21℃,多云,西北风,4-5级,55,良,2,牡丹江
2018-02-21,2018-02-21,-3℃,-15℃,多云,西南风,3-4级,45,优,1,牡丹江
2018-02-22,2018-02-22,-4℃,-17℃,多云,西风,3-4级,43,优,1,牡丹江
2018-02-23,2018-02-23,-6℃,-19℃,多云,西风,3-4级,52,良,2,牡丹江
2018-02-24,2018-02-24,-7℃,-21℃,多云,西风,3-4级,52,良,2,牡丹江
2018-02-25,2018-02-25,-5℃,-19℃,晴,西风,3-4级,108,轻度污染,3,牡丹江
2018-02-26,2018-02-26,-3℃,-17℃,多云~小雪,东南风,3-4级,100,良,2,牡丹江
2018-02-27,2018-02-27,-4℃,-18℃,多云,西北风,3-4级,104,轻度污染,3,牡丹江
2018-02-28,2018-02-28,0℃,-17℃,小雪~大雪,南风,3-4级,117,轻度污染,3,牡丹江
2018-02-28,2018-02-28,-7,-21,,,,,,,
2018-02-07,2018-02-07,,,,,,,,,
2018-03-01,2018-03-01,-9℃,-29℃,阵雪~多云,西北风,1-2级,56,良,2,大兴安岭
2018-03-02,2018-03-02,-8℃,-26℃,阵雪,东风,1-2级,66,良,2,大兴安岭
2018-03-03,2018-03-03,-8℃,-25℃,阵雪,东北风,3-4级,58,良,2,大兴安岭
2018-03-04,2018-03-04,-10℃,-28℃,多云,西北风,1-2级,34,优,1,大兴安岭
2018-03-05,2018-03-05,-11℃,-29℃,多云,西北风,3-4级,34,优,1,大兴安岭
2018-03-06,2018-03-06,-11℃,-27℃,晴,西北风,3-4级,38,优,1,大兴安岭
2018-03-07,2018-03-07,-10℃,-26℃,多云,西北风,3-4级,36,优,1,大兴安岭
2018-03-08,2018-03-08,-8℃,-27℃,多云~晴,西北风,1-2级,44,优,1,大兴安岭
2018-03-09,2018-03-09,-7℃,-24℃,晴~多云,南风,1-2级,64,良,2,大兴安岭
2018-03-10,2018-03-10,-6℃,-25℃,多云,西风,1-2级,48,优,1,大兴安岭
2018-03-11,2018-03-11,-4℃,-20℃,多云,西风,1-2级,41,优,1,大兴安岭
2018-03-12,2018-03-12,-1℃,-23℃,阵雪~多云,西北风,1-2级,68,良,2,大兴安岭
2018-03-13,2018-03-13,1℃,-14℃,多云,西北风,3-4级,80,良,2,大兴安岭
2018-03-14,2018-03-14,0℃,-24℃,多云~晴,西北风,3-4级,45,优,1,大兴安岭
2018-03-15,2018-03-15,-4℃,-20℃,晴,西北风,3-4级,34,优,1,大兴安岭
2018-03-16,2018-03-16,2℃,-16℃,晴,西北风,3-4级,33,优,1,大兴安岭
2018-03-17,2018-03-17,4℃,-13℃,晴~多云,西北风,3-4级,30,优,1,大兴安岭
2018-03-18,2018-03-18,-3℃,-22℃,多云~晴,西北风,3-4级,44,优,1,大兴安岭
2018-03-19,2018-03-19,-3℃,-19℃,晴,西北风,3-4级,32,优,1,大兴安岭
2018-03-20,2018-03-20,6℃,-15℃,晴,西风,3-4级,48,优,1,大兴安岭
2018-03-21,2018-03-21,11℃,-10℃,晴~多云,西南风,3-4级,44,优,1,大兴安岭
2018-03-22,2018-03-22,9℃,-8℃,多云,西北风,3-4级,36,优,1,大兴安岭
2018-03-23,2018-03-23,9℃,-9℃,晴,西风,3-4级,35,优,1,大兴安岭
2018-03-24,2018-03-24,13℃,-1℃,晴~多云,西南风,4-5级,31,优,1,大兴安岭
2018-03-25,2018-03-25,15℃,3℃,晴,西南风,3-4级,36,优,1,大兴安岭
2018-03-26,2018-03-26,14℃,-2℃,多云,西南风,4-5级,53,良,2,大兴安岭
2018-03-27,2018-03-27,7℃,-3℃,小雨~雨夹雪,西南风,3-4级,50,优,1,大兴安岭
2018-03-28,2018-03-28,7℃,-13℃,多云,西北风,3-4级,31,优,1,大兴安岭
2018-03-29,2018-03-29,9℃,-5℃,晴,西风,3-4级,31,优,1,大兴安岭
2018-03-30,2018-03-30,10℃,-10℃,晴,西北风,4-5级,36,优,1,大兴安岭
2018-03-31,2018-03-31,15℃,3℃,多云,西南风,4-5级,61,良,2,大兴安岭
2018-03-25,2018-03-25,1,-16,,,,,,,
2018-03-05,2018-03-05,,,,,,,,,
2018-03-01,2018-03-01,-9℃,-21℃,小雪~多云,东北风,4-5级,43,优,1,黑河
2018-03-02,2018-03-02,-13℃,-20℃,多云,西北风,1-2级,40,优,1,黑河
2018-03-03,2018-03-03,-10℃,-22℃,小雪,东风,3-4级,35,优,1,黑河
2018-03-04,2018-03-04,-8℃,-21℃,阴~多云,西北风,3-4级,31,优,1,黑河
2018-03-05,2018-03-05,-10℃,-20℃,晴,西北风,3-4级,31,优,1,黑河
2018-03-06,2018-03-06,-8℃,-23℃,晴,西北风,3-4级,31,优,1,黑河
2018-03-07,2018-03-07,-9℃,-24℃,晴,西风,1-2级,42,优,1,黑河
2018-03-08,2018-03-08,-7℃,-22℃,多云~晴,西北风,1-2级,41,优,1,黑河
2018-03-09,2018-03-09,-8℃,-24℃,晴~多云,西风,1-2级,46,优,1,黑河
2018-03-10,2018-03-10,-6℃,-20℃,多云,西北风,1-2级,40,优,1,黑河
2018-03-11,2018-03-11,-1℃,-13℃,多云,西南风,1-2级,41,优,1,黑河
2018-03-12,2018-03-12,0℃,-15℃,阵雪~多云,西南风,3-4级,55,良,2,黑河
2018-03-13,2018-03-13,-1℃,-13℃,多云,西北风,1-2级,56,良,2,黑河
2018-03-14,2018-03-14,0℃,-17℃,多云,西北风,3-4级,40,优,1,黑河
2018-03-15,2018-03-15,-5℃,-16℃,晴,西北风,3-4级,35,优,1,黑河
2018-03-16,2018-03-16,1℃,-10℃,晴,西南风,3-4级,39,优,1,黑河
2018-03-17,2018-03-17,4℃,-9℃,晴~多云,西南风,3-4级,40,优,1,黑河
2018-03-18,2018-03-18,2℃,-14℃,阵雪~晴,西北风,3-4级,46,优,1,黑河
2018-03-19,2018-03-19,-4℃,-16℃,晴,西北风,3-4级,37,优,1,黑河
2018-03-20,2018-03-20,1℃,-8℃,晴,西风,1-2级,38,优,1,黑河
2018-03-21,2018-03-21,10℃,-6℃,晴,西北风,1-2级,47,优,1,黑河
2018-03-22,2018-03-22,12℃,-4℃,晴,西风,1-2级,72,良,2,黑河
2018-03-23,2018-03-23,9℃,-4℃,多云,西风,3-4级,62,良,2,黑河
2018-03-24,2018-03-24,10℃,-2℃,晴,西风,3-4级,57,良,2,黑河
2018-03-25,2018-03-25,12℃,-2℃,晴,西北风,3-4级,92,良,2,黑河
2018-03-26,2018-03-26,18℃,0℃,多云,西南风,4-5级,196,中度污染,4,黑河
2018-03-27,2018-03-27,11℃,-1℃,阵雨~雨夹雪,南风,4-5级,64,良,2,黑河
2018-03-28,2018-03-28,8℃,-6℃,阴~多云,北风,3-4级,40,优,1,黑河
2018-03-29,2018-03-29,7℃,-1℃,晴,西风,3-4级,35,优,1,黑河
2018-03-30,2018-03-30,12℃,-4℃,晴~多云,西北风,3-4级,37,优,1,黑河
2018-03-31,2018-03-31,8℃,-1℃,多云,西南风,3-4级,64,良,2,黑河
2018-03-26,2018-03-26,1,-12,,,,,,,
2018-03-09,2018-03-09,,,,,,,,,
2018-03-01,2018-03-01,-9℃,-15℃,中雪~多云,北风,3-4级,54,良,2,齐齐哈尔
2018-03-02,2018-03-02,-7℃,-19℃,晴~多云,北风,1-2级,61,良,2,齐齐哈尔
2018-03-03,2018-03-03,-8℃,-15℃,多云~中雪,西风,3-4级,77,良,2,齐齐哈尔
2018-03-04,2018-03-04,-5℃,-16℃,多云,西北风,3-4级,47,优,1,齐齐哈尔
2018-03-05,2018-03-05,-6℃,-21℃,晴~多云,西风,3-4级,39,优,1,齐齐哈尔
2018-03-06,2018-03-06,-8℃,-20℃,晴~多云,西风,3-4级,35,优,1,齐齐哈尔
2018-03-07,2018-03-07,-7℃,-21℃,多云,西风,3-4级,67,良,2,齐齐哈尔
2018-03-08,2018-03-08,-6℃,-18℃,多云,东北风,1-2级,49,优,1,齐齐哈尔
2018-03-09,2018-03-09,-7℃,-19℃,多云,东南风,1-2级,126,轻度污染,3,齐齐哈尔
2018-03-10,2018-03-10,-7℃,-20℃,阵雪~多云,东南风,1-2级,75,良,2,齐齐哈尔
2018-03-11,2018-03-11,-1℃,-16℃,多云,东北风,1-2级,87,良,2,齐齐哈尔
2018-03-12,2018-03-12,5℃,-7℃,晴~多云,南风,1-2级,98,良,2,齐齐哈尔
2018-03-13,2018-03-13,2℃,-10℃,小雪~多云,西风,1-2级,97,良,2,齐齐哈尔
2018-03-14,2018-03-14,0℃,-8℃,小雪,西北风,1-2级,50,优,1,齐齐哈尔
2018-03-15,2018-03-15,-4℃,-13℃,多云,北风,3-4级,39,优,1,齐齐哈尔
2018-03-16,2018-03-16,2℃,-10℃,晴,北风,1-2级,42,优,1,齐齐哈尔
2018-03-17,2018-03-17,5℃,-5℃,晴~多云,西北风,1-2级,50,优,1,齐齐哈尔
2018-03-18,2018-03-18,5℃,-13℃,晴~多云,西北风,1-2级,36,优,1,齐齐哈尔
2018-03-19,2018-03-19,2℃,-9℃,晴,西风,1-2级,37,优,1,齐齐哈尔
2018-03-20,2018-03-20,5℃,-11℃,晴,北风,1-2级,59,良,2,齐齐哈尔
2018-03-21,2018-03-21,8℃,-4℃,晴,南风,1-2级,78,良,2,齐齐哈尔
2018-03-22,2018-03-22,12℃,-3℃,晴,东北风,1-2级,77,良,2,齐齐哈尔
2018-03-23,2018-03-23,10℃,-3℃,多云,西北风,1-2级,49,优,1,齐齐哈尔
2018-03-24,2018-03-24,15℃,0℃,晴~多云,西南风,1-2级,63,良,2,齐齐哈尔
2018-03-25,2018-03-25,18℃,-1℃,多云,北风,1-2级,76,良,2,齐齐哈尔
2018-03-26,2018-03-26,15℃,3℃,多云,南风,1-2级,136,轻度污染,3,齐齐哈尔
2018-03-27,2018-03-27,16℃,2℃,多云,西南风,4-5级,201,重度污染,5,齐齐哈尔
2018-03-28,2018-03-28,12℃,3℃,晴~多云,西北风,1-2级,77,良,2,齐齐哈尔
2018-03-29,2018-03-29,11℃,-1℃,多云,西北风,1-2级,37,优,1,齐齐哈尔
2018-03-30,2018-03-30,14℃,-1℃,晴~多云,西南风,3-4级,137,轻度污染,3,齐齐哈尔
2018-03-31,2018-03-31,12℃,3℃,阴~多云,西南风,1-2级,104,轻度污染,3,齐齐哈尔
2018-03-25,2018-03-25,3,-9,,,,,,,
2018-03-05,2018-03-05,,,,,,,,,
2018-03-01,2018-03-01,-8℃,-21℃,中雪~阵雪,东北风,4-5级,30,优,1,伊春
2018-03-02,2018-03-02,-6℃,-24℃,晴~多云,西风,3-4级,47,优,1,伊春
2018-03-03,2018-03-03,-6℃,-15℃,小雪~中雪,东风,3-4级,39,优,1,伊春
2018-03-04,2018-03-04,-8℃,-23℃,阵雪~多云,西北风,4-5级,34,优,1,伊春
2018-03-05,2018-03-05,-9℃,-26℃,多云~晴,西北风,4-5级,43,优,1,伊春
2018-03-06,2018-03-06,-10℃,-26℃,晴,西风,4-5级,38,优,1,伊春
2018-03-07,2018-03-07,-9℃,-23℃,多云,西风,3-4级,40,优,1,伊春
2018-03-08,2018-03-08,-8℃,-26℃,多云~晴,西风,3-4级,39,优,1,伊春
2018-03-09,2018-03-09,-8℃,-25℃,晴~多云,北风,3-4级,40,优,1,伊春
2018-03-10,2018-03-10,-5℃,-25℃,晴,北风,3-4级,31,优,1,伊春
2018-03-11,2018-03-11,-3℃,-17℃,晴,西南风,3-4级,33,优,1,伊春
2018-03-12,2018-03-12,2℃,-12℃,多云,南风,4-5级,42,优,1,伊春
2018-03-13,2018-03-13,1℃,-16℃,雨夹雪~多云,西北风,3-4级,56,良,2,伊春
2018-03-14,2018-03-14,0℃,-17℃,中雪~阵雪,西风,3-4级,38,优,1,伊春
2018-03-15,2018-03-15,-7℃,-24℃,晴,西风,4-5级,31,优,1,伊春
2018-03-16,2018-03-16,-1℃,-16℃,晴,西风,4-5级,35,优,1,伊春
2018-03-17,2018-03-17,3℃,-8℃,晴,西风,4-5级,42,优,1,伊春
2018-03-18,2018-03-18,3℃,-17℃,雨夹雪~晴,西风,4-5级,47,优,1,伊春
2018-03-19,2018-03-19,-6℃,-23℃,晴,西北风,4-5级,30,优,1,伊春
2018-03-20,2018-03-20,0℃,-16℃,晴,西北风,3-4级,32,优,1,伊春
2018-03-21,2018-03-21,6℃,-12℃,晴,西南风,3-4级,42,优,1,伊春
2018-03-22,2018-03-22,9℃,-9℃,晴,西南风,3-4级,54,良,2,伊春
2018-03-23,2018-03-23,9℃,-5℃,阴~晴,西南风,3-4级,66,良,2,伊春
2018-03-24,2018-03-24,10℃,-4℃,晴,西风,4-5级,49,优,1,伊春
2018-03-25,2018-03-25,14℃,-4℃,多云,西风,3-4级,38,优,1,伊春
2018-03-26,2018-03-26,18℃,5℃,晴~多云,南风,4-5级,40,优,1,伊春
2018-03-27,2018-03-27,14℃,3℃,多云~小雨,南风,4-5级,52,良,2,伊春
2018-03-28,2018-03-28,12℃,-5℃,多云,西北风,4-5级,70,良,2,伊春
2018-03-29,2018-03-29,8℃,-5℃,多云~晴,西北风,3-4级,29,优,1,伊春
2018-03-30,2018-03-30,13℃,-1℃,晴,西风,4-5级,40,优,1,伊春
2018-03-31,2018-03-31,11℃,-4℃,多云,东南风,3-4级,48,优,1,伊春
2018-03-26,2018-03-26,1,-14,,,,,,,
2018-03-06,2018-03-06,,,,,,,,,
2018-03-01,2018-03-01,-9℃,-16℃,大雪~小雪,东风,3-4级,38,优,1,鹤岗
